machine_id,timestamp,cpu_util_percent,mem_util_percent,disk_io_percent,net_in,net_out,col_7,col_8
m_1965,2025-07-23 10:33:22.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 10:33:42.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 10:34:32.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 10:34:52.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 10:37:12.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 10:37:42.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:20:52.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:23:42.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:25:22.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:26:12.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:29:22.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:31:02.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:34:42.247255,0,1,,,0.0,0.0,0
m_1965,2025-07-23 11:43:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:43:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:46:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:49:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:50:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:52:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:53:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:55:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:57:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:58:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 11:59:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:01:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:02:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:03:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:03:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:07:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:07:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:09:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:10:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:11:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:14:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:15:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:16:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:18:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:19:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:19:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:20:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:20:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:21:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:22:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:23:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:23:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:23:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:24:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:24:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:25:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:25:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:29:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:30:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:30:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:33:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:34:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:35:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:37:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 12:41:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:15:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:17:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:18:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:21:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:25:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:27:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:29:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:31:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:35:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:36:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:39:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:39:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:46:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:46:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:49:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:49:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:51:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:53:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:55:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 14:56:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:02:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:02:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:05:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:06:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:07:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:07:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:08:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:10:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:12:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:12:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:13:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:14:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:18:32.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:19:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:22:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:22:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:24:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:25:42.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:26:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:30:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:30:12.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:30:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:32:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:33:52.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:37:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:39:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:39:22.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:42:02.247255,0,2,,,0.0,0.0,0
m_1965,2025-07-23 15:42:42.247255,0,2,,,0.0,0.0,0
